problem_id,IfElse,NestedIf,While,For,NestedFor,MathBasic,MathMod,LogicAndNotOr,LogicCompareNum,LogicBoolean,StringFormat,StringConcat,StringIndex,StringLen,StringEqual,CharEqual,ArrayIndex,DefFunction
1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
13,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
17,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
20,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
21,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
22,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
24,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
25,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
31,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
32,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0
33,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
34,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0
36,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0
37,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0
38,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0
39,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
40,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0
41,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
43,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
44,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
45,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
46,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
48,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
49,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
51,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
56,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0
67,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
70,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
71,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
100,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
101,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
102,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0
104,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0
106,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0
107,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
108,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
112,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0
232,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
233,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
234,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
235,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
236,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
